1,Samsung,Galaxy Watch 5 Pro (45mm)(Cellular),50000
1,Samsung,Galaxy Watch 5 Pro (45mm)(Wifi),45000
1,Samsung,Galaxy Watch 5 (44mm)(Cellular),36000
1,Samsung,Galaxy Watch 5 (44mm)(Wifi),31000
1,Samsung,Galaxy Watch 5 (40mm)(Cellular),33000
1,Samsung,Galaxy Watch 5 (40mm)(Wifi),28000
1,Samsung,Galaxy Watch 4 (44mm)(Cellular),27000
1,Samsung,Galaxy Watch 4 (44mm)(Wifi),20000
1,Samsung,Galaxy Watch 4 (40mm)(Cellular),29000
1,Samsung,Galaxy Watch 4 (40mm)(Wifi),24000
1,Apple,Apple Watch Ultra (49mm)(Cellular),89000
1,Apple,Apple Watch Series 8 (45mm)(Cellular),59000
1,Apple,Apple Watch Series 8 (45mm)(Wifi),49000
1,Apple,Apple Watch Series 8 (41mm)(Cellular),56000
1,Apple,Apple Watch Series 8 (41mm)(Wifi),46000
1,Apple,Apple Watch SE2 (44mm)(Cellular),38000
1,Apple,Apple Watch SE2 (44mm)(Wifi),33000
1,Apple,Apple Watch SE2 (40mm)(Cellular),35000
1,Apple,Apple Watch SE2 (40mm)(Wifi),30000
